TEXT
-640	-128
-410	170
-43	-626
-484	-129
-348	180
-118	99
264	-69
632	-511
-128	-143
41	-93
450	-100
-175	416
111	543
468	-168
91	-363
-225	574
-384	0
-225	-574
91	363
468	168
111	-543
-175	-416
450	100
41	93
-128	143
632	511
264	69
-118	-99
-348	-180
-484	129
-43	626
-410	-170
-640	128
-219	546
118	272
467	599
-13	0
-330	-38
172	88
246	-145
-128	399
-416	-200
-13	-392
236	6
250	-362
660	277
-16	521
-370	-219
128	0
-370	219
-16	-521
660	-277
250	362
236	-6
-13	392
-416	200
-128	-399
246	145
172	-88
-330	38
-13	0
467	-599
118	-272
-219	-546
-640	-128
-410	170
-43	-626
-484	-129
-348	180
-118	99
264	-69
632	-511
-128	-143
41	-93
450	-100
-175	416
111	543
468	-168
91	-363
-225	574
128	256
-55	99
81	-501
-107	-189
-62	-21
349	21
182	156
263	-229
218	-128
419	-159
-19	-470
-399	202
132	76
-408	-709
371	75
631	839
-512	0
631	-839
371	-75
-408	709
132	-76
-399	-202
-19	470
419	159
218	128
263	229
182	-156
349	-21
-62	21
-107	189
